All PCS,Gag,Pol
5.33,2.2,3.64
7.24,3.54,4.97
5.48,2.59,3.37
4.42,1.93,2.56
0.96,0.53,0.58
3.49,1.95,1.83
0.26,0.26,0.2
7.06,3.7,4.43
3.71,1.92,1.86
5.44,2.26,3.46
6.24,3.05,4.08
5.35,2.31,3.43
0.18,0.13,0.17
0.15,0.15,0.11
