All PCS,Gag,Pol
2.73,1.34,1.28
3.26,1.58,1.53
2.02,1.18,0.69
2.18,1.02,1.11
1.11,0.63,0.73
0.51,0.32,0.51
0.69,0.41,0.47
3.4,1.31,1.67
2.8,1.15,1.45
4.08,1.53,1.87
0.16,0.16,0.15
0.23,0.13,0.21
1.93,1.01,1.09
2.36,1.37,1.2
2.03,1.18,0.84
2.57,1.15,1.02
1.66,1.06,0.8
1.96,0.93,1.07
