All PCS,Gag,Pol
7.76,3.86,3.86
0.2,0.08,0.13
8.73,4.47,4.24
14.32,7.61,7.03
15.82,8.1,8.05
9.33,4.89,4.49
14.26,7.35,7.07
9.78,4.91,5.17
12.2,6.31,6.29
7.77,3.87,3.91
8.64,4.59,4.16
7.64,3.81,4.02
10.12,5.09,5.31
8.66,4.41,4.38
9.14,4.68,4.46
11.83,5.75,6.21
