All PCS,Gag,Pol
1.53,0.82,0.89
0.21,0.11,0.1
2.37,1.19,1.15
2.85,2.1,1.69
6.04,2.88,3.97
1.98,1.12,0.89
5.1,2.29,2.52
1.33,0.95,0.94
3.88,2.15,2.21
1.96,0.93,1.07
1.06,0.7,0.5
0.96,0.64,0.55
1.38,0.91,1.01
1.2,0.74,0.68
1.83,1.01,0.94
2.11,1.07,1.56
