All PCS,Gag,Pol
8.78,4.52,4.25
10.63,5.43,5.25
9.01,4.74,4.23
8.16,4.08,3.94
7.75,4,3.69
4.52,1.6,2.76
5.48,2.33,2.95
12.05,5.97,6.06
10.1,5.2,4.78
11.48,5.52,5.93
1.15,0.47,0.68
0.92,0.22,0.7
8.14,4.01,4.06
10.19,5.4,5
9.09,4.77,4.33
9.17,4.74,4.32
9.44,4.92,4.66
7.77,3.87,3.91
