All PCS,Gag,Pol
14.38,7.56,7.15
14,7.52,6.83
9.58,4.86,4.94
9.8,4.94,5.17
8.66,4.08,4.61
6.99,3.39,3.73
6.91,3.44,3.64
2.86,1.24,1.55
13.76,7.25,6.53
8.57,4.26,4.5
7.69,3.87,3.83
6.55,3.3,3.5
7.64,3.72,4.3
11.72,5.86,6.16
7.19,3.38,3.86
8.16,4.15,4.2
11.11,5.54,5.6
0.21,0.21,0.01
0.49,0.29,0.17
11.07,5.67,5.6
10.79,5.37,5.49
7.47,3.93,3.71
