All PCS,Gag,Pol
15.33,7.71,7.79
17.17,8.66,8.93
14.67,7.55,7.45
12.61,6.51,6.41
8.28,4.45,3.88
13.62,6.99,6.86
5.3,2.99,2.31
16.84,8.63,8.45
12.18,6.37,6.03
14.14,7.17,7.25
16,8.23,8.11
14.12,7.18,7.17
1.33,0.66,0.68
0.35,0.35,0.06
